"Title","Date","Rating","Review"
"Be careful","2022-10-16","4","Less is more with this product. When I first introduced myself to it, I used entirely too much. I made them too dark. But this was also when this product just came out. It's good and long lasting. Just be light handed"
"No Title","2019-02-10","5","One of my favorite concealers I prefer this over shape tape any day of the week. It doesn't cake at all and it looks so pretty under the eyes"
"No Title","2019-02-09","3","Not the worst drugstore concealer, not the best one though. Works beautifully for small blemishes and to correct certain spots, but if you have very strong dark circles does not work that well. It is also not that long lasting as I would like it to be."
"Easiest At Home Mani","2018-03-28","5","As a mom of 3 little kids with a full time job a manicure is a luxury. This 2 step process makes it easy and feasible since it lasts the full work week! I now have multiple colors and all look fantastic!"
"Very good product","2017-07-21","5","This polish actually provides great coverage. The color (Terra-Coppa) is a vibrant metallic that will look good with any outfit. The polish as well as the top coat applied very easily and evenly. The brush has more of a paint brush appearance that helped greatly with the application. The polish itself lasted a good week without chipping even though I was not particularly careful. Would definitely recommend this product."
"No Title","2020-04-01","2","This polish is not terrible but the brush, for me, is terrible. I have very small mail beds and the brush is large and flat and cumbersome. I'm not a fan of large polish brushes. It's difficult to do detail work with them and I feel they become gunky over time."
"Legit","2017-07-20","5","I love the color and it has stayed on very well throughout my motherly duties like changing sheets, grabbing  laundry out of the washer and dryer, scrubbing things and even using household cleaners without gloves on."
"All Out Pout Nude Lipstick","2018-08-07","4","Very nice and rich texture with a very Angelina Jolie nude color. Just a tad darker and pinker than my own medium olive Anglo skin, it’s a shade away from dead. I use a warmer longwearing lip liner and it adds enough color. I’m use to the very long wearing lip products so I can’t say it really lasts long but it’s on the matte side and so stays on for at least a few hours. Especially if your not eating or drinking."
"Nail Perfection","2017-07-16","5","This polish is so strong.  Most polishes just chip away.  I work a lot with my hands and have not had an issue with this polish chipping. I also tend to see chipping after showering but that also did not happen with this polish.  Definitely recommend.  The top coat seals the polish and gives is a beautiful smooth shiny look."
"Dip brow","2022-07-10","5","So smooth and glides so easy! With this i can do my eyebrows in a matter of seconds! I love this product and will always huy"
"No Title","2019-11-20","5","My favorite, it gives a nice look to my brows and is very easy to blend. Is very pigmented and waterproof. Love it I always use it."
"LOVE LOVE LOVE!!","2017-07-19","5","I've always had a hard time getting nail polish that won't chip off my nails because I have a very active lifestyle  with my kids and husband and can be a little rough on my nails. I love getting gel manicures at the salon but it's too much an expense and the process is too long for me to take time out of my day to do it.  The Sally Hansen Miracle Coat nail polish system was great because it was so easy and there was no fuss with any lights but I had the look and durability like I'd  gone to the salon.  I can't wait to pick out my next color and use it again!"
"The best one","2018-07-25","5","I’ve tried it and aleays use this one after that and always keep the same"
"Beautiful","2020-12-07","5","Perfect shades. Light non greasy. Perfect coverage. A must"
"Not ideal for older women","2018-07-25","3","Color was exactly as expected. Color lasts reasonably well. I found I didn't like the matte texture. I'm 51 and my lips aren't as plump as they were when I was in my 20s. This texture really amplifies the little lines and cracks, and makes my lips appear far older than they look without lipstick. Perhaps this lipstick would be fine on a young woman, but I do not recommend it for someone in their 50s who isn't using fillers and plumpers. Adding a lip balm underneath the lipstick helped a bit, but it also made the lipstick less long-wearing."
"Beautiful yet Practical","2017-11-03","5","The Sally Hansen Miracle Gel & Top coat goes on smoothly and evenly.  It dries quickly, so it doesn't hinder me from moving around for long periods of time.  The top coat adds an extra shine that makes the paint look fresh much longer and last longer.  I would highly recommend Sally Hansen Miracle Gel & Top Coat to anyone who wants beautiful nails but leads an active lifestyle."
"My nails look perfect immediately!","2017-07-27","5","I love how easy Sally Hansen Miracle Gel and Top Coat are to use. They go on smoothly and look great even only after one application.
The color is rich and vibrant and stays on longer then any other nail polish that I use.
The top coat adds more shine, and helps to set the polish perfectly! 
Sally Hansen Miracle Gel and Top Coat are now my favorites polishes to use :)"
"Glad I gave this a second chance...","2017-12-15","3","The first time I used the gel color and top coat, I did not allow the color to dry completely before applying the top coat. My nails smudged easily, even after letting it dry for a couple of hours and by the 5th day there was already a lot of chipping and peeling of the polish. The second time I used it I decided to make sure the color was completely dry before applying the top coat. I let the color dry for about an hour and then applied the top coat and let that dry for about an hour to an hour and fifteen minutes. The second use was a success. I had no smudging issues and the finished product still looked fresh by the end of the second week. I only had to small color chips on day 21 when I removed the color and I only had to remove the color due to nail growth. If you have the time to allow the coats to dry then I would definitely recommend this product."
"lousy applicator","2020-12-07","2","difficult to judge if you're getting enough or too much and then dries out - product itself is great"
"148 hazelnut Maybelline","2020-12-07","5","This products is excellent and love the package its great and also my skin color ."
"It's okay","2022-12-27","3","I wouldn't say this is my favorite too coat for 2 reasons: it's thick and it leaves a big separation on your nail. I feel like this polish gets chunky easily and when you put it on, it goes on thick as well. You can see the difference between the top coat and your color painted nail."
"The Best!!","2021-06-25","5","I love it, it's the best! My face perspires quite a bit, but this stays on and on. It's all I use!"
"Love the product but why no applicator inc?","2021-06-21","1","No applicator included even though there is a spot located below the product to put one like there always was in previous years?  That is crazy in my opinion!  I will switch to another product even though I used this for many years!"
"No Title","2020-01-30","3","I really like how strudy this makes my nails. This is the color ""Jealous Boyfriend"". The issue is how soft this formula is. It ends up peeling up and chipping after a few days. It makes my nails a bit sturdier but not by much. I wish it would harden up quicker and easier."
"No Title","2019-02-09","3","This concealer has a thin formula but is buildable. Goes on very smooth and is easily blendable. Id recommend this to those with fine lines because it settles nicely on the skin. I have found higher end concealers to perform better and are only slightly more expensive so I will not be purchasing again."
